param,Description
...,
active_flag,"Active Flag - All Players: '0', Active Players: '1'"
active_players,"Active Flag - All Players: '0', Active Players: '1'"
active_streaks_only,"Active Flag - All Players: '0', Active Players: '1'"
active_teams_only,"Active Flag - All Players: '0', Active Players: '1'"
ahead_behind,
btr_opp_ast,
btr_opp_blk,
btr_opp_dreb,
btr_opp_fg_pct,
btr_opp_fg3_pct,
btr_opp_fg3a,
btr_opp_fg3m,
btr_opp_fga,
btr_opp_fgm,
btr_opp_ft_pct,
btr_opp_fta,
btr_opp_ftm,
btr_opp_oreb,
btr_opp_pf,
btr_opp_pts,
btr_opp_pts_fb,
btr_opp_pts_off_tov,
btr_opp_pts_paint,
btr_opp_pts2nd_chance,
btr_opp_reb,
btr_opp_stl,
btr_opp_tov,
cfid,
cfparams,
close_def_dist_range,
clutch_time,
college,
conference,
context_filter,
context_measure,
counter,
country,
date_from,
date_to,
day_offset,
def_player_id,
def_team_id,
defense_category,
direction,
distance_range,
division,
draft_number,
draft_pick,
draft_round,
draft_team_id,
draft_year,
dribble_range,
end_period,
end_range,
eq_opp_pts_fb,
eq_opp_pts_off_tov,
eq_opp_pts_paint,
eq_opp_pts2nd_chance,
eq_pts_fb,
eq_pts_off_tov,
eq_pts_paint,
eq_pts2nd_chance,
et_ast,
et_blk,
et_dd,
et_dreb,
et_fg_pct,
et_fg3_pct,
et_fg3a,
et_fg3m,
et_fga,
et_fgm,
et_ft_pct,
et_fta,
et_ftm,
et_minutes,
et_oreb,
et_pf,
et_pts,
et_reb,
et_stl,
et_td,
et_tov,
game_date,
game_event_id,
game_id,
game_ids,
game_scope,
game_segment,
general_range,
group_id,
group_id_2,
group_mode,
group_quantity,
gt_ast,
gt_blk,
gt_dd,
gt_dreb,
gt_fg_pct,
gt_fg3_pct,
gt_fg3a,
gt_fg3m,
gt_fga,
gt_fgm,
gt_ft_pct,
gt_fta,
gt_ftm,
gt_minutes,
gt_opp_ast,
gt_opp_blk,
gt_opp_dreb,
gt_opp_fg_pct,
gt_opp_fg3_pct,
gt_opp_fg3a,
gt_opp_fg3m,
gt_opp_fga,
gt_opp_fgm,
gt_opp_ft_pct,
gt_opp_fta,
gt_opp_ftm,
gt_opp_oreb,
gt_opp_pf,
gt_opp_pts,
gt_opp_pts_fb,
gt_opp_pts_off_tov,
gt_opp_pts_paint,
gt_opp_pts2nd_chance,
gt_opp_reb,
gt_opp_stl,
gt_opp_tov,
gt_oreb,
gt_pf,
gt_pts,
gt_pts_fb,
gt_pts_off_tov,
gt_pts_paint,
gt_pts2nd_chance,
gt_reb,
gt_stl,
gt_td,
gt_tov,
height,
historical,
is_only_current_season,
last_n_games,
league_id,"League - default: '00'. Other options include '01': ABA, '10': WNBA, '20': G-League"
location,
lstreak,
lt_ast,
lt_blk,
lt_dd,
lt_dreb,
lt_fg_pct,
lt_fg3_pct,
lt_fg3a,
lt_fg3m,
lt_fga,
lt_fgm,
lt_ft_pct,
lt_fta,
lt_ftm,
lt_minutes,
lt_opp_ast,
lt_opp_blk,
lt_opp_dreb,
lt_opp_fg_pct,
lt_opp_fg3_pct,
lt_opp_fg3a,
lt_opp_fg3m,
lt_opp_fga,
lt_opp_fgm,
lt_opp_ft_pct,
lt_opp_fta,
lt_opp_ftm,
lt_opp_oreb,
lt_opp_pf,
lt_opp_pts,
lt_opp_pts_fb,
lt_opp_pts_off_tov,
lt_opp_pts_paint,
lt_opp_pts2nd_chance,
lt_opp_reb,
lt_opp_stl,
lt_opp_tov,
lt_oreb,
lt_pf,
lt_pts,
lt_pts_fb,
lt_pts_off_tov,
lt_pts_paint,
lt_pts2nd_chance,
lt_reb,
lt_stl,
lt_td,
lt_tov,
measure_type,
min_games,
minutes_min,
month,
nest_data,
number_of_games,
off_player_id,
off_team_id,
on_off,
opp_player_id,
opponent_team_id,
outcome,
overall_pick,
p,
pace_adjust,
per_mode,
period,
person_1_id,
person_1_league_id,
person_1_season,
person_1_season_type,
person_2_id,
person_2_league_id,
person_2_season,
person_2_season_type,
player_experience,"Player Experience: 'Rookie', 'Sophomore', 'Veteran'"
player_id,
player_id_list,
player_id1,
player_id2,
player_id3,
player_id4,
player_id5,
player_or_team,
player_position,
player_scope,
plus_minus,
po_round,
point_diff,
position,
pt_measure_type,
range_type,
rank,
rookie_year,
rotation_stat,
round_num,
round_pick,
run_type,
scope,
season,
season_id,
season_segment,
season_type,
season_year,
series_id,
shot_clock_range,
shot_dist_range,
sorter,
start_period,
start_range,
starter_bench,
stat,
stat_category,
stat_type,
team_id,
todays_opponent,
todays_players,
top_x,
touch_time_range,
two_way,
version,
vs_conference,
vs_division,
vs_player_id,
vs_player_id_list,
vs_player_id1,
vs_player_id2,
vs_player_id3,
vs_player_id4,
vs_player_id5,
vs_team_id,
weight,
wrs_opp_ast,
wrs_opp_blk,
wrs_opp_dreb,
wrs_opp_fg_pct,
wrs_opp_fg3_pct,
wrs_opp_fg3a,
wrs_opp_fg3m,
wrs_opp_fga,
wrs_opp_fgm,
wrs_opp_ft_pct,
wrs_opp_fta,
wrs_opp_ftm,
wrs_opp_oreb,
wrs_opp_pf,
wrs_opp_pts,
wrs_opp_pts_fb,
wrs_opp_pts_off_tov,
wrs_opp_pts_paint,
wrs_opp_pts2nd_chance,
wrs_opp_reb,
wrs_opp_stl,
wrs_opp_tov,
wstreak,
years_experience,
